datetime,strike,quantity,price,notional,bid,ask,side,volatility,hedge,exchange,condition
2021-04-01T13:27:43Z,200,5,3.02,1510,3,3.2,Mid,157.8,195.4,CBOE,Regular
2021-04-01T13:27:43Z,200,4,3.14,1256,3,3.2,Mid,162.0,195.4,MIAX,Regular
2021-04-01T13:27:43Z,200,5,3.14,1570,3,3.2,Mid,162.0,195.4,MIAX,Regular
2021-04-01T13:27:43Z,200,1,3.14,314,3,3.2,Mid,162.0,195.4,MIAX,Regular
2021-04-01T13:27:44Z,200,1,2.95,295,2.95,3.2,Bid,159.5,195.05,BATS,Auto-Execution
2021-04-01T13:27:44Z,200,1,2.95,295,2.95,3.2,Bid,159.5,195.05,PEARL,Inter-Market Sweep
2021-04-01T13:27:44Z,200,5,3,1500,2.98,3.2,Mid,159.7,195.18,CBOE,Auto-Execution
2021-04-01T13:27:45Z,200,3,3,900,2.95,3.1,Mid,161.3,195.04,PHLX,Regular
2021-04-01T13:27:46Z,200,5,2.95,1475,2.84,3,Mid,160.2,194.98,BATS,Auto-Execution
2021-04-01T13:27:47Z,200,5,2.81,1405,2.53,3,Mid,162.5,194.36,PHLX,Regular
2021-04-01T13:27:47Z,200,2,2.8,560,2.5,3,Mid,162.1,194.37,PHLX,Regular
2021-04-01T13:27:47Z,200,8,2.79,2232,2.5,3,Mid,161.7,194.37,PHLX,Regular
2021-04-01T13:27:47Z,200,1,2.77,277,2.66,3,Mid,159.2,194.52,BATS,Auto-Execution
2021-04-01T13:27:48Z,200,2,2.86,572,2.53,2.97,Mid,164.3,194.36,PHLX,Regular
2021-04-01T13:27:48Z,200,1,2.73,273,2.53,2.99,Mid,159.7,194.36,CBOE,Regular
2021-04-01T13:27:48Z,200,4,2.77,1108,2.53,2.99,Mid,161.1,194.36,CBOE,Regular
2021-04-01T13:27:49Z,200,5,2.83,1415,2.53,2.97,Mid,163.2,194.36,BOX,Regular
2021-04-01T13:27:50Z,200,1,2.89,289,2.63,2.9,Mid,165.6,194.34,MIAX,Regular
2021-04-01T13:27:51Z,200,1,2.76,276,2.63,2.76,Ask,161.0,194.34,AMEX,Auto-Execution
2021-04-01T13:27:52Z,200,2,2.89,578,2.89,2.9,Bid,165.5,194.34,EMERALD,Auto-Execution
2021-04-01T13:27:53Z,200,2,2.83,566,2.64,2.9,Mid,163.6,194.33,NASDAQ,Auto-Execution
2021-04-01T13:27:54Z,200,5,2.52,1260,2.6,2.9,Below,156.0,194.04,BOX,Inter-Market Sweep
2021-04-01T13:27:54Z,200,1,2.52,252,2.6,2.9,Below,156.0,194.04,PEARL,Auto-Execution
2021-04-01T13:27:54Z,200,1,2.6,260,2.52,2.9,Mid,158.9,194.04,CBOE,Auto-Execution
2021-04-01T13:27:54Z,200,14,2.52,3528,2.52,2.6,Bid,156.0,194.04,BATS,Inter-Market Sweep
2021-04-01T13:27:54Z,200,10,2.52,2520,2.52,2.9,Bid,156.0,194.04,ARCA,Auto-Execution
2021-04-01T13:27:55Z,200,1,2.63,263,2.5,2.79,Mid,160.0,194.03,CBOE,Regular
2021-04-01T13:27:55Z,200,3,2.65,795,2.5,2.79,Mid,160.7,194.03,CBOE,Regular
2021-04-01T13:27:56Z,200,7,2.74,1918,2.65,2.74,Ask,163.4,194.07,EMERALD,Auto-Execution
2021-04-01T13:27:56Z,200,3,2.74,822,2.65,2.74,Ask,163.4,194.07,EMERALD,Auto-Execution
