datetime,stock,exchange,quantity,price,notional,bid,ask,condition
2021-04-01 15:59:59,191.45,NYSE,2652,190.6,"$505,471",190.5,190.63,
2021-04-01 16:00:02,191.45,NYSE,59191,191.45,"$11,332,117",190.01,190.94,Closing
2021-04-01 16:03:43,191.5,NASDAQ,1304,190.8,"$248,803",190.05,190.9,After-Hours
2021-04-01 16:14:26,191.5,ARCA,1597,190.49,"$304,213",190.32,190.49,"Sweep, After-Hours"
2021-04-01 16:17:55,191.5,Dark Pool,1215,190.16,"$231,044",190.16,190.51,After-Hours
2021-04-01 16:27:24,191.5,Dark Pool,1600,190.32,"$304,512",190.22,190.32,After-Hours
2021-04-01 17:06:23,191.5,Dark Pool,8624,191.45,"$1,651,065",190.1,190.3,After-Hours
2021-04-01 17:58:00,191.5,AMEX,3000,190.9,"$572,700",190.64,190.9,"Sweep, After-Hours"
2021-04-01 17:58:31,191.5,AMEX,1950,190.9,"$372,255",190.64,191.3,"Sweep, After-Hours"
2021-04-01 17:58:50,191.5,Dark Pool,1600,191.3,"$306,080",191.3,191.38,After-Hours
2021-04-01 17:59:27,191.5,NASDAQ,1716,191.45,"$328,528",190.76,191.5,After-Hours
2021-04-01 18:42:43,191.5,Dark Pool,1900,191,"$362,900",190.8,191,After-Hours
